player_name,team,position,nation,pass_accuracy,passes_attempted,passes_completed,cross_accuracy,crosses_attempted,crosses_completed,free_kicks
Aladji Bamba,Monaco,MIDFIELDER,FRA,87.4,58.0,50.0,0.0,0.0,0.0,1.0
Adem Zorgane,Union SG,UNKNOWN,ALG,87.38,407.0,356.0,0.0,2.0,0.0,8.0
Michael Olise,Bayern München,UNKNOWN,FRA,87.34,434.0,379.0,16.67,42.0,7.0,5.0
Rui Silva,Sporting CP,GOALKEEPER,POR,87.34,297.0,259.0,0.0,0.0,0.0,21.0
Malik Tillman,Leverkusen,UNKNOWN,USA,87.3,242.0,204.0,16.67,6.0,1.0,0.0
Martin Ødegaard,Arsenal,ATTACKING_MIDFIELDER,NOR,87.25,162.0,135.0,0.0,8.0,0.0,7.0
Piotr Zieliński,Inter,ATTACKING_MIDFIELDER,POL,87.2,411.0,377.0,25.0,8.0,2.0,9.0
Felix Nmecha,B. Dortmund,MIDFIELDER,GER,87.0,441.0,384.0,50.0,2.0,1.0,7.0
Raúl Asencio,Real Madrid,UNKNOWN,ESP,87.0,341.0,321.0,50.0,2.0,1.0,15.0
Pedro Neto,Chelsea,WINGER,POR,87.0,232.0,205.0,17.95,39.0,7.0,4.0
Ellyes Skhiri,Frankfurt,UNKNOWN,TUN,87.0,189.0,166.0,0.0,0.0,0.0,2.0
Joe Gomez,Liverpool,UNKNOWN,ENG,87.0,137.0,119.0,0.0,8.0,0.0,4.0
Igoh Ogbu,Slavia Praha,CENTRE_BACK,NGA,87.0,55.0,48.0,0.0,0.0,0.0,1.0
Pierre Kalulu,Juventus,FULL_BACK,FRA,86.9,499.0,443.0,46.67,15.0,7.0,11.0
David Zima,Slavia Praha,CENTRE_BACK,CZE,86.88,275.0,240.0,0.0,1.0,0.0,11.0
Oscar Gloukh,Ajax,CENTRAL_MIDFIELDER,ISR,86.88,225.0,188.0,26.67,15.0,4.0,7.0
Anass Salah-Eddine,PSV,FULL_BACK,MAR,86.86,229.0,198.0,33.34,6.0,2.0,3.0
José María Giménez,Atleti,CENTRE_BACK,URU,86.84,185.0,172.0,0.0,0.0,0.0,4.0
William Osula,Newcastle,UNKNOWN,DEN,86.84,20.0,16.0,0.0,0.0,0.0,0.0
Thilo Kehrer,Monaco,CENTRAL_MIDFIELDER,GER,86.78,349.0,308.0,0.0,1.0,0.0,16.0
Mamadou Diakhon,Club Brugge,UNKNOWN,FRA,86.78,110.0,93.0,28.58,7.0,2.0,1.0
Richard Ríos,Benfica,UNKNOWN,COL,86.75,276.0,239.0,33.34,6.0,2.0,12.0
Elye Wahi,Frankfurt,UNKNOWN,FRA,86.67,14.0,12.0,0.0,1.0,0.0,0.0
Djed Spence,Tottenham,UNKNOWN,ENG,86.6,307.0,260.0,13.64,22.0,3.0,8.0
Mathias Rasmussen,Union SG,UNKNOWN,NOR,86.6,85.0,75.0,60.0,5.0,3.0,2.0
Claudio Echeverri,Leverkusen,UNKNOWN,ARG,86.6,60.0,51.0,0.0,1.0,0.0,0.0
Pantelis Hatzidiakos,Copenhagen,CENTRE_BACK,GRE,86.58,254.0,219.0,0.0,0.0,0.0,13.0
Joey Veerman,PSV,UNKNOWN,NED,86.5,550.0,477.0,23.92,46.0,11.0,25.0
Marco Sportiello,Atalanta,UNKNOWN,ITA,86.5,65.0,56.0,0.0,0.0,0.0,4.0
Manuel Locatelli,Juventus,DEFENSIVE_MIDFIELDER,ITA,86.45,480.0,421.0,28.58,7.0,2.0,24.0
Malo Gusto,Chelsea,UNKNOWN,FRA,86.43,234.0,203.0,31.25,16.0,5.0,3.0
Dani Olmo,Barcelona,WINGER,ESP,86.38,156.0,136.0,40.0,5.0,2.0,6.0
Lucas Chevalier,Paris,GOALKEEPER,FRA,86.34,188.0,161.0,0.0,0.0,0.0,4.0
Fredrik André Bjørkan,Bodø/Glimt,UNKNOWN,NOR,86.3,545.0,472.0,25.0,12.0,3.0,10.0
